"Tap","Pitch","Metric Drill","US Drill"
"3",   "0.5",   "2.5",   ""
"4",   "0.7",   "3.4",   ""
"5",   "0.8",   "4.3",   ""
"6",   "1.0",   "5.2",   ""
"7",   "1.0",   "6.1",   "15/64"
"8",   "1.25",  "6.9",   "17/64"
"8",   "1.0",   "7.1",   ""
"10",  "1.5",   "8.7",   ""
"10",  "1.25",  "8.9",   "11/32"
"10",  "1.0",   "9.1",   ""
"12",  "1.75",  "10.5",  ""
"12",  "1.5",   "10.7",  "27/64"
"14",  "2.0",   "12.2",  ""
"14",  "1.5",   "12.7",  ""
"16",  "2.0",   "14.2",  "35/64"
"16",  "1.5",   "14.7",  ""
