"Material","SFM.Min","SFM.Max"
"Steel (tough)","60","100"   
"Mild Steel","10","125"  	
"Mild Steel (with colant)","20","25"
"Cast Iron","6","8"
"Alloy Steels (1320–9262)","12","65"
"Carbon Steels (C1008–C1095)","10","70"
"Free Cutting Steels (B1111–B1113 & C1108–C1213)","115","225"
"Stainless Steels (300 & 400 series)","30","7"
"Bronzes","10","80"
"Steel 12L14","30","33"
"Aluminium","400","1000"
"Brass","300","700" 
"Machinable Wax","20","20"
"Delrin","35","35"
"Polyethylene","40","40"
"Acrylic (with coolant)","50","50"
"Wood","600","1000"







