"Material",                       "MinSFM",   "MedianSFM",  "MaxSFM"
"Aluminum",                       "1200",      "2000",      "3000"
"Aluminum Cast",                  "1000",      "2000",      "3000"
"Brass Yellow Red",               "400",       "950",       "3000"
"Bronze-Alum Bronze",             "250",       "625",       "1000"
"Composites CFRP-Aramid",         "200",       "300",       "400"
"Composites Honeycomb",           "200",       "300",       "400"
"Composites Phenolic",            "600",       "800",       "1000"
"Copper",                         "600",       "800",       "1000"
"Delrin",                         "600",       "800",       "1000"
"Graphite",                       "600",       "800",       "1000"
"Platics Hard",                   "600",       "800",       "1000"
"Plastics Soft",                  "600",       "800",       "1000"
"Cobalt Alloys Haynes 25",        "60",        "90",        "110"
"Cobalt Alloys 188",              "60",        "90",        "110"
"Cobalt Alloys Stellite",         "60",        "90",        "110"
"Hastelloy",                      "100",       "180",       "220"
"Inconel 525",                    "65",        "158",       "250"
"Inconel 700",                    "65",        "158",       "250"
"Inconel 718",                    "65",        "158",       "250"
"Rene 41",                        "65",        "158",       "250"
"Nomonic",                        "65",        "158",       "250"
"Waspaloy",                       "65",        "158",       "250"
"Monel",                          "65",        "158",       "250"
"Hastelloy",                      "65",        "158",       "250"
"Astroloy",                       "65",        "158",       "250"
"Udimet",                         "65",        "158",       "250"
"Invar",                          "150",       "200",       "400"
"Iron Alloy A-286",               "150",       "200",       "400"
"Iron Alloy 16-25-6",             "150",       "200",       "400"
"Kovar",                          "250",       "375",       "500"
"Nickel Alloys",                  "75",        "150",       "180"
"Notronic",                       "100",       "180",       "220"
"Titanium 4AL4V",                 "100",       "180",       "220"
"Titanium 6AL4V",                 "160",       "280",       "400"
"Titanium 6AL6V",                 "160",       "280",       "400"
"Titanium Comm Pure",             "80",        "290",       "500"
"Stainless Austenitic 304L",      "250",       "325",       "400"
"Stainless Austenitic 316L",      "250",       "325",       "400"
"Stainless Austenitic 13-8",      "250",       "325",       "400"
"Stainless Austenitic 303",       "260",       "350",       "500"
"Stainless Austenitic 304",       "260",       "350",       "500"
"Stainless Ferritic 430",         "250",       "300",       "400"
"Stainless Ferritic 434",         "250",       "300",       "400"
"Stainless Martensitic 17-4",     "250",       "425",       "600"
"Stainless Martensitic 420",      "200",       "300",       "400"
"Stainless Martensitic 440",      "200",       "300",       "400"
"Stainless Martensitic 15-5",     "250",       "300",       "400"
"Stainless Martensitic 410",      "250",       "325",       "400"
"Stainless Martensitic 416",      "250",       "325",       "400"
"Tool Steel 4140",                "250",       "350",       "450"
"Tool Steel 4150",                "250",       "350",       "450"
"Tool Steel 4320",                "250",       "350",       "450"
"Tool Steel 5120",                "250",       "350",       "450"
"Tool Steel 6118",                "250",       "350",       "450"
"Tool Steel 6150",                "250",       "350",       "450"
"Tool Steel 8620",                "250",       "350",       "450"
"Free Machining Steel 1111",      "300",       "450",       "600"
"Free Machining Steel 1115",      "300",       "450",       "600"
"Free Machining Steel 1140",      "300",       "450",       "600"
"Low Carbon Steel 1010",          "300",       "450",       "600"
"Low Carbon Steel 1018",          "300",       "450",       "600"
"Low Carbon Steel 1020",          "300",       "450",       "600"
"Low Carbon Steel 12L14",         "250",       "350",       "450"
"Low Carbon Steel A36",           "250",       "350",       "450"
"Medium Carbon Steel 1035",       "200",       "320",       "470"
"Medium Carbon Steel 1040",       "200",       "320",       "470"
"Medium Carbon Steel 1095",       "200",       "320",       "470"
"Medium Carbon Steel 1525",       "200",       "320",       "470"
"Medium Carbon Steel 1572",       "200",       "320",       "470"
"Tool Steel A2",                  "150",       "300",       "450"
"Tool Steel D2",                  "150",       "300",       "450"
"Tool Steel P20",                 "160",       "305",       "450"
"Tool Steel H-13",                "160",       "305",       "450"
"Cast Iron Ductile A536",         "200",       "350",       "500"
"Cast Iron Gray A48",             "250",       "400",       "500"
"Cast Iron Gray Class 20-60",     "250",       "400",       "500"
